date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-11-11,AC,,state,32113,705,True,894470,12,3590.17072,0.022
2020-11-11,AL,,state,92040,2282,True,3351543,27,2746.1978,0.0248
2020-11-11,AM,,state,167486,4655,True,4207714,13,3980.45114,0.0278
2020-11-11,AP,,state,53790,770,True,861773,16,6241.78293,0.0143
2020-11-11,BA,,state,367669,7859,True,14930634,29,2462.51432,0.0214
2020-11-11,CE,,state,279989,9418,True,9187103,23,3047.63101,0.0336
2020-11-11,DF,,state,217793,3788,True,3055149,53,7128.71942,0.0174
2020-11-11,ES,,state,165688,3969,True,4064052,32,4076.91634,0.024
2020-11-11,GO,,state,265131,5900,True,7113540,52,3727.13164,0.0223
2020-11-11,MA,,state,188677,4146,True,7114598,21,2651.96994,0.022
2020-11-11,MG,,state,374651,9204,True,21292666,31,1759.53072,0.0246
2020-11-11,MT,,state,148623,3943,True,3526220,51,4214.79658,0.0265
2020-11-11,PA,,state,260058,6806,True,8690745,15,2992.35566,0.0262
2020-11-11,PB,,state,136637,3178,True,4039277,25,3382.70933,0.0233
2020-11-11,PE,,state,168093,8773,True,9616621,26,1747.94244,0.0522
2020-11-11,PI,,state,118939,2499,True,3281480,22,3624.55356,0.021
2020-11-11,PR,,state,225624,5563,True,11516840,41,1959.07905,0.0247
2020-11-11,RJ,,state,320598,20970,True,17366189,33,1846.10452,0.0654
2020-11-11,RO,,state,73990,1486,True,1796460,11,4118.65558,0.0201
2020-11-11,RS,,state,267750,6034,True,11422973,43,2343.96072,0.0225
2020-11-11,SC,,state,283252,3268,True,7252502,42,3905.57631,0.0115
2020-11-11,SE,,state,85643,2247,True,2318822,28,3693.38397,0.0262
2020-11-11,SP,,state,1150872,39907,True,46289333,35,2486.25747,0.0347
2020-11-10,MS,,state,85990,1645,True,2809394,50,3060.80244,0.0191
2020-11-10,RN,,state,83309,2620,True,3534165,24,2357.24704,0.0314
2020-11-10,RR,,state,59586,701,True,631181,14,9440.39824,0.0118
2020-11-10,TO,,state,77306,1120,True,1590248,17,4861.25435,0.0145
